customer_id,age,gender,city,cohort_month,last_txn_date,days_since_last_txn,is_churned,txn_count,avg_txn_amount
CUST100000,56,Male,Hyderabad,2023-08-24,2024-05-05,-125,0,8,2997.35625
CUST100001,69,Female,Hyderabad,2023-05-26,2023-08-28,126,0,2,974.645
CUST100002,46,Female,Chennai,2022-12-27,2022-12-31,366,1,5,3466.3940000000002
CUST100003,32,Male,Hyderabad,2023-03-27,2023-12-13,19,0,5,2119.108
CUST100004,60,Female,Bangalore,2022-08-29,2023-07-07,178,0,4,1873.6374999999998
CUST100005,25,Female,Chennai,2022-11-27,2024-05-14,-134,0,5,1554.156
CUST100006,38,Female,Mumbai,2022-11-27,2024-05-16,-136,0,6,2567.93
CUST100007,56,Male,Hyderabad,2022-05-31,2024-06-10,-161,0,7,3117.8757142857144
CUST100008,36,Female,Hyderabad,2023-06-25,2024-01-26,-25,0,8,1921.79375
CUST100009,40,Female,Mumbai,2022-06-30,2023-09-27,96,0,7,2466.942857142857
CUST100010,28,Male,Hyderabad,2022-03-02,2024-03-30,-89,0,7,2217.1357142857146
CUST100011,28,Male,Mumbai,2023-03-27,2024-06-11,-162,0,10,2760.647
CUST100012,41,Female,Chennai,2023-05-26,2024-06-15,-166,0,12,2583.2083333333335
CUST100013,53,Female,Bangalore,2023-03-27,2024-05-19,-139,0,9,2419.423333333333
CUST100014,57,Male,Mumbai,2023-10-23,2023-10-02,91,0,6,2239.443333333333
CUST100015,41,Male,Delhi,2022-06-30,2024-05-17,-137,0,19,3100.216315789474
CUST100016,20,Female,Mumbai,2022-04-01,2024-05-20,-140,0,7,1675.8257142857144
CUST100017,39,Female,Hyderabad,2022-07-30,2023-11-23,39,0,4,1503.9924999999998
CUST100018,19,Female,Chennai,2022-12-27,2023-07-28,157,0,8,1945.41375
CUST100019,41,Female,Pune,2022-12-27,2023-09-14,109,0,6,2758.263333333333
CUST100020,61,Male,Chennai,2023-04-26,2024-03-08,-67,0,8,3224.34125
CUST100021,47,Female,Pune,2023-04-26,2024-06-06,-157,0,2,2056.915
CUST100022,55,Female,Mumbai,2022-05-01,2024-05-07,-127,0,9,3204.707777777778
CUST100023,19,Male,Bangalore,2022-05-31,2023-07-27,158,0,8,3232.25625
CUST100024,38,Female,Delhi,2023-06-25,2024-05-03,-123,0,10,3280.5379999999996
CUST100025,50,Male,Chennai,2022-12-27,2024-05-12,-132,0,11,2440.9436363636364
CUST100026,29,Female,Hyderabad,2023-01-26,2024-06-16,-167,0,8,2990.82375
CUST100027,39,Female,Pune,2023-09-23,2024-02-21,-51,0,4,3918.9325
CUST100028,61,Male,Hyderabad,2022-04-01,2024-05-08,-128,0,9,2861.97
CUST100029,42,Male,Bangalore,2022-06-30,2023-06-03,212,1,4,1468.9099999999999
CUST100030,66,Female,Pune,2022-07-30,2024-03-16,-75,0,10,2519.138
CUST100031,44,Female,Chennai,2022-12-27,2024-06-12,-163,0,10,2534.928
CUST100032,59,Female,Mumbai,2022-05-31,2023-06-16,199,1,3,3095.443333333333
CUST100033,45,Male,Hyderabad,2022-05-31,2024-06-09,-160,0,5,3111.0739999999996
CUST100034,33,Female,Bangalore,2023-11-22,2024-03-01,-60,0,5,3458.2239999999997
CUST100035,32,Male,Chennai,2023-08-24,2024-05-02,-122,0,5,2965.35
CUST100036,64,Male,Chennai,2022-03-02,2023-10-27,66,0,7,2911.7542857142857
CUST100037,68,Female,Chennai,2022-03-02,2024-03-13,-72,0,7,2233.9842857142858
